metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
akamai_cloud_pulse.dbaas.available_disk,gauge,,gibibyte,,Available disk space on the database node.,1,akamai_cloud_pulse,available disk,,
akamai_cloud_pulse.dbaas.available_memory,gauge,,gibibyte,,Available memory on the database node.,1,akamai_cloud_pulse,available memory,,
akamai_cloud_pulse.dbaas.cpu_usage,gauge,,percent,,CPU usage of the database node.,-1,akamai_cloud_pulse,cpu usage,,
akamai_cloud_pulse.dbaas.disk_usage,gauge,,percent,,Disk usage of the database node.,-1,akamai_cloud_pulse,disk usage,,
akamai_cloud_pulse.dbaas.memory_usage,gauge,,percent,,Memory usage of the database node.,-1,akamai_cloud_pulse,memory usage,,
akamai_cloud_pulse.dbaas.read_iops,gauge,,operation,second,Read I/O operations per second on the database node.,0,akamai_cloud_pulse,read iops,,
akamai_cloud_pulse.dbaas.write_iops,gauge,,operation,second,Write I/O operations per second on the database node.,0,akamai_cloud_pulse,write iops,,
akamai_cloud_pulse.nodebalancer.active_tcp_backends,gauge,,node,,Active (healthy) backends (TCP) behind the NodeBalancer.,1,akamai_cloud_pulse,active tcp backends,,
akamai_cloud_pulse.nodebalancer.active_tcp_sessions,gauge,,session,,Active sessions (TCP) on the NodeBalancer.,0,akamai_cloud_pulse,active tcp sessions,,
akamai_cloud_pulse.nodebalancer.active_udp_backends,gauge,,node,,Active (healthy) backends (UDP) behind the NodeBalancer.,1,akamai_cloud_pulse,active udp backends,,
akamai_cloud_pulse.nodebalancer.active_udp_sessions,gauge,,session,,Active sessions (UDP) on the NodeBalancer.,0,akamai_cloud_pulse,active udp sessions,,
akamai_cloud_pulse.nodebalancer.egress_tcp_traffic_rate,gauge,,byte,second,Egress traffic rate (TCP) through the NodeBalancer.,0,akamai_cloud_pulse,egress tcp_traffic,,
akamai_cloud_pulse.nodebalancer.egress_traffic_rate,gauge,,byte,second,Egress traffic rate (all protocols) through the NodeBalancer.,0,akamai_cloud_pulse,egress traffic,,
akamai_cloud_pulse.nodebalancer.egress_udp_traffic_rate,gauge,,byte,second,Egress traffic rate (UDP) through the NodeBalancer.,0,akamai_cloud_pulse,egress udp_traffic,,
akamai_cloud_pulse.nodebalancer.ingress_tcp_traffic_rate,gauge,,byte,second,Ingress traffic rate (TCP) through the NodeBalancer.,0,akamai_cloud_pulse,ingress tcp_traffic,,
akamai_cloud_pulse.nodebalancer.ingress_traffic_rate,gauge,,byte,second,Ingress traffic rate (all protocols) through the NodeBalancer.,0,akamai_cloud_pulse,ingress traffic,,
akamai_cloud_pulse.nodebalancer.ingress_udp_traffic_rate,gauge,,byte,second,Ingress traffic rate (UDP) through the NodeBalancer.,0,akamai_cloud_pulse,ingress udp_traffic,,
akamai_cloud_pulse.nodebalancer.new_sessions_per_second,gauge,,session,second,New sessions per second (all protocols) on the NodeBalancer.,0,akamai_cloud_pulse,new sessions,,
akamai_cloud_pulse.nodebalancer.new_tcp_sessions_per_second,gauge,,session,second,New sessions per second (TCP) on the NodeBalancer.,0,akamai_cloud_pulse,new tcp_sessions,,
akamai_cloud_pulse.nodebalancer.new_udp_sessions_per_second,gauge,,session,second,New sessions per second (UDP) on the NodeBalancer.,0,akamai_cloud_pulse,new udp_sessions,,
akamai_cloud_pulse.nodebalancer.total_active_backends,gauge,,node,,Active (healthy) backends (all protocols) behind the NodeBalancer.,1,akamai_cloud_pulse,total active backends,,
akamai_cloud_pulse.nodebalancer.total_active_sessions,gauge,,session,,Active sessions (all protocols) on the NodeBalancer.,0,akamai_cloud_pulse,total active sessions,,
